board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
3;0;" NONE   ";    0;    0;   0; 710
3;0;" Red    "; 1419; 1625; 710;1870
3;0;" Blue   "; 2114; 2270;1870;2354
3;0;" Yellow "; 2438; 2491;2354;2834
3;0;" White  "; 3176; 3217;2834;4095
3;1;" NONE   ";    0;    0;   0; 666
3;1;" Red    "; 1332; 1476; 666;1710
3;1;" Blue   "; 1943; 2010;1710;2175
3;1;" Yellow "; 2340; 2378;2175;2670
3;1;" White  "; 2963; 3073;2670;4095
3;2;" NONE   ";    0;    0;   0; 623
3;2;" Red    "; 1246; 1305; 623;1494
3;2;" Blue   "; 1683; 1877;1494;1939
3;2;" Yellow "; 2001; 2036;1939;2268
3;2;" White  "; 2500; 2560;2268;4095
3;3;" NONE   ";    0;    0;   0; 694
3;3;" Red    "; 1389; 1425; 694;1666
3;3;" Blue   "; 1907; 1966;1666;2148
3;3;" Yellow "; 2329; 2347;2148;2644
3;3;" White  "; 2942; 3080;2644;4095
3;4;" NONE   ";    0;    0;   0; 594
3;4;" Red    "; 1188; 1252; 594;1424
3;4;" Blue   "; 1595; 1612;1424;1753
3;4;" Yellow "; 1894; 1944;1753;2210
3;4;" White  "; 2476; 2576;2210;4095
3;5;" NONE   ";    0;    0;   0; 472
3;5;" Red    ";  945;  983; 472;1108
3;5;" Blue   "; 1232; 1318;1108;1434
3;5;" Yellow "; 1551; 1574;1434;1766
3;5;" White  "; 1958; 2030;1766;4095
3;6;" NONE   ";    0;    0;   0; 518
3;6;" Red    "; 1036; 1083; 518;1192
3;6;" Blue   "; 1302; 1417;1192;1548
3;6;" Yellow "; 1680; 1754;1548;1900
3;6;" White  "; 2047; 2179;1900;4095
3;7;" NONE   ";    0;    0;   0; 616
3;7;" Red    "; 1233; 1266; 616;1462
3;7;" Blue   "; 1659; 1699;1462;1823
3;7;" Yellow "; 1947; 2011;1823;2276
3;7;" White  "; 2540; 2612;2276;4095
3;8;" NONE   ";    0;    0;   0; 477
3;8;" Red    ";  954;  992; 477;1121
3;8;" Blue   "; 1250; 1442;1121;1462
3;8;" Yellow "; 1483; 1682;1462;1886
3;8;" White  "; 2090; 2139;1886;4095
3;9;" NONE   ";    0;    0;   0; 474
3;9;" Red    ";  949; 1016; 474;1168
3;9;" Blue   "; 1321; 1448;1168;1532
3;9;" Yellow "; 1617; 1757;1532;1928
3;9;" White  "; 2099; 2177;1928;4095
3;10;" NONE   ";    0;    0;   0; 456
3;10;" Red    ";  911;  983; 456;1110
3;10;" Blue   "; 1236; 1310;1110;1449
3;10;" Yellow "; 1588; 1709;1449;1793
3;10;" White  "; 1877; 1933;1793;4095
3;11;" NONE   ";    0;    0;   0; 468
3;11;" Red    ";  935; 1049; 468;1192
3;11;" Blue   "; 1336; 1382;1192;1535
3;11;" Yellow "; 1688; 1709;1535;1925
3;11;" White  "; 2141; 2192;1925;4095
3;12;" NONE   ";    0;    0;   0; 588
3;12;" Red    "; 1177; 1302; 588;1465
3;12;" Blue   "; 1628; 1901;1465;1962
3;12;" Yellow "; 2022; 2109;1962;2319
3;12;" White  "; 2529; 2552;2319;4095
3;13;" NONE   ";    0;    0;   0; 470
3;13;" Red    ";  941; 1063; 470;1188
3;13;" Blue   "; 1312; 1400;1188;1517
3;13;" Yellow "; 1634; 1706;1517;1894
3;13;" White  "; 2083; 2109;1894;4095
3;14;" NONE   ";    0;    0;   0; 674
3;14;" Red    "; 1348; 1404; 674;1592
3;14;" Blue   "; 1780; 1900;1592;2063
3;14;" Yellow "; 2226; 2278;2063;2566
3;14;" White  "; 2854; 3019;2566;4095
3;15;" NONE   ";    0;    0;   0; 677
3;15;" Red    "; 1354; 1456; 677;1629
3;15;" Blue   "; 1802; 1901;1629;2096
3;15;" Yellow "; 2290; 2329;2096;2582
3;15;" White  "; 2835; 3011;2582;4095
