"test_num","board","sensor","marble_color","min_value","max_value","low_threshold","high_threshold","min_range","max_range","sensor_amplitude","monitored_mean","coeff_monitored_range","coeff_full_range","Maxy ref alpha","maxy i ref","maxy cal alpha","adjusted_full_range"
0,3,8," Red    ",920,1023,460,1160,920,2088,1168,971.5,0.0440924657534247,0.465277777777778,3143,2088,3143,0.465277777777778
0,3,8," Blue   ",1298,1434,1160,1500,920,2088,1168,1366,0.381849315068493,0.654214559386973,3143,2088,3143,0.654214559386973
0,3,8," Yellow ",1565,1721,1500,1887,920,2088,1168,1643,0.619006849315068,0.786877394636015,3143,2088,3143,0.786877394636015
0,3,8," White  ",2053,2088,1887,4095,920,2088,1168,2070.5,0.985017123287671,0.99161877394636,3143,2088,3143,0.99161877394636
0,3,9," NONE   ",0,0,0,465,930,2105,1175,0,-0.791489361702128,0,3143,2105,3143,0
0,3,9," Red    ",930,1024,465,1169,930,2105,1175,977,0.04,0.464133016627078,3143,2105,3143,0.464133016627078
0,3,9," Blue   ",1314,1501,1169,1560,930,2105,1175,1407.5,0.406382978723404,0.668646080760095,3143,2105,3143,0.668646080760095
0,3,9," Yellow ",1620,1665,1560,1868,930,2105,1175,1642.5,0.606382978723404,0.780285035629454,3143,2105,3143,0.780285035629454
0,3,9," White  ",2071,2105,1868,4095,930,2105,1175,2088,0.985531914893617,0.991923990498812,3143,2105,3143,0.991923990498812
0,3,10," NONE   ",0,0,0,443,886,2004,1118,0,-0.792486583184258,0,3143,2004,3143,0
0,3,10," Red    ",886,998,443,1120,886,2004,1118,942,0.0500894454382827,0.470059880239521,3143,2004,3143,0.470059880239521
0,3,10," Blue   ",1241,1362,1120,1422,886,2004,1118,1301.5,0.371645796064401,0.649451097804391,3143,2004,3143,0.649451097804391
0,3,10," Yellow ",1481,1496,1422,1721,886,2004,1118,1488.5,0.538908765652952,0.742764471057884,3143,2004,3143,0.742764471057884
0,3,10," White  ",1946,2004,1721,4095,886,2004,1118,1975,0.974060822898032,0.985528942115768,3143,2004,3143,0.985528942115768
0,3,11," NONE   ",0,0,0,488,977,2174,1197,0,-0.816207184628237,0,3143,2174,3143,0
0,3,11," Red    ",977,1042,488,1192,977,2174,1197,1009.5,0.0271512113617377,0.464351425942962,3143,2174,3143,0.464351425942962
0,3,11," Blue   ",1341,1467,1192,1553,977,2174,1197,1404,0.35672514619883,0.645814167433303,3143,2174,3143,0.645814167433303
0,3,11," Yellow ",1639,1686,1553,1891,977,2174,1197,1662.5,0.572681704260652,0.764719411223551,3143,2174,3143,0.764719411223551
0,3,11," White  ",2096,2174,1891,4095,977,2174,1197,2135,0.967418546365915,0.982060717571297,3143,2174,3143,0.982060717571297
0,3,12," NONE   ",0,0,0,610,1219,2671,1452,0,-0.839531680440771,0,3143,2671,3143,0
0,3,12," Red    ",1219,1293,610,1510,1219,2671,1452,1256,0.0254820936639118,0.470235866716586,3143,2671,3143,0.470235866716586
0,3,12," Blue   ",1726,1838,1510,1950,1219,2671,1452,1782,0.387741046831956,0.667165855484837,3143,2671,3143,0.667165855484837
0,3,12," Yellow ",2063,2112,1950,2352,1219,2671,1452,2087.5,0.598140495867769,0.781542493448147,3143,2671,3143,0.781542493448147
0,3,12," White  ",2593,2671,2352,4095,1219,2671,1452,2632,0.973140495867769,0.985398727068514,3143,2671,3143,0.985398727068514
0,3,13," NONE   ",0,0,0,480,961,2124,1163,0,-0.826311263972485,0,3143,2124,3143,0
0,3,13," Red    ",961,999,480,1172,961,2124,1163,980,0.0163370593293207,0.461393596986817,3143,2124,3143,0.461393596986817
0,3,13," Blue   ",1345,1376,1172,1470,961,2124,1163,1360.5,0.343508168529665,0.640536723163842,3143,2124,3143,0.640536723163842
0,3,13," Yellow ",1564,1693,1470,1838,961,2124,1163,1628.5,0.573946689595873,0.766713747645951,3143,2124,3143,0.766713747645951
0,3,13," White  ",1983,2124,1838,4095,961,2124,1163,2053.5,0.939380911435941,0.96680790960452,3143,2124,3143,0.96680790960452
0,3,14," NONE   ",0,0,0,664,1328,2912,1584,0,-0.838383838383838,0,3143,2912,3143,0
0,3,14," Red    ",1328,1409,664,1589,1328,2912,1584,1368.5,0.0255681818181818,0.469951923076923,3143,2912,3143,0.469951923076923
0,3,14," Blue   ",1769,1877,1589,1961,1328,2912,1584,1823,0.3125,0.62603021978022,3143,2912,3143,0.62603021978022
0,3,14," Yellow ",2045,2317,1961,2562,1328,2912,1584,2181,0.538510101010101,0.74896978021978,3143,2912,3143,0.74896978021978
0,3,14," White  ",2806,2912,2562,4095,1328,2912,1584,2859,0.966540404040404,0.98179945054945,3143,2912,3143,0.98179945054945
0,3,15," NONE   ",0,0,0,681,1362,2792,1430,0,-0.952447552447552,0,3143,2792,3143,0
0,3,15," Red    ",1362,1402,681,1630,1362,2792,1430,1382,0.013986013986014,0.494985673352436,3143,2792,3143,0.494985673352436
0,3,15," Blue   ",1858,1940,1630,2068,1362,2792,1430,1899,0.375524475524476,0.680157593123209,3143,2792,3143,0.680157593123209
0,3,15," Yellow ",2195,2358,2068,2517,1362,2792,1430,2276.5,0.63951048951049,0.815365329512894,3143,2792,3143,0.815365329512894
0,3,15," White  ",2676,2792,2517,4095,1362,2792,1430,2734,0.959440559440559,0.979226361031519,3143,2792,3143,0.979226361031519
1,3,0," NONE   ",0,0,0,766,1531,3174,1643,0,-0.931832014607426,0,3143,3143,3174,0
1,3,0," Red    ",1531,1567,766,1792,1531,3174,1643,1549,0.0109555690809495,0.488027725267801,3143,3143,3174,0.488027725267801
1,3,0," Blue   ",2018,2130,1792,2237,1531,3174,1643,2074,0.330493000608643,0.653434152488973,3143,3143,3174,0.653434152488973
1,3,0," Yellow ",2344,2560,2237,2836,1531,3174,1643,2452,0.560559951308582,0.772526780088217,3143,3143,3174,0.772526780088217
1,3,0," White  ",3112,3174,2836,4095,1531,3174,1643,3143,0.981132075471698,0.990233144297416,3143,3143,3174,0.990233144297416
1,3,1," NONE   ",0,0,0,728,1455,3108,1653,0,-0.88021778584392,0,3143,3051,3174,0
1,3,1," Red    ",1455,1493,728,1650,1455,3108,1653,1474,0.0114942528735632,0.474259974259974,3143,3051,3174,0.478401722285936
1,3,1," Blue   ",1807,1987,1650,2058,1455,3108,1653,1897,0.267392619479734,0.61036036036036,3143,3051,3174,0.615690683294723
1,3,1," Yellow ",2129,2435,2058,2724,1455,3108,1653,2282,0.500302480338778,0.734234234234234,3143,3051,3174,0.740646357026124
