board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
3;0;" NONE   ";    0;    0;   0; 766
3;0;" Red    "; 1531; 1567; 766;1792
3;0;" Blue   "; 2018; 2130;1792;2237
3;0;" Yellow "; 2344; 2560;2237;2836
3;0;" White  "; 3112; 3174;2836;4095
3;1;" NONE   ";    0;    0;   0; 728
3;1;" Red    "; 1455; 1493; 728;1650
3;1;" Blue   "; 1807; 1987;1650;2058
3;1;" Yellow "; 2129; 2435;2058;2724
3;1;" White  "; 3012; 3108;2724;4095
3;2;" NONE   ";    0;    0;   0; 599
3;2;" Red    "; 1198; 1285; 599;1480
3;2;" Blue   "; 1674; 1727;1480;1887
3;2;" Yellow "; 2047; 2160;1887;2336
3;2;" White  "; 2512; 2651;2336;4095
3;3;" NONE   ";    0;    0;   0; 664
3;3;" Red    "; 1329; 1395; 664;1652
3;3;" Blue   "; 1909; 1997;1652;2124
3;3;" Yellow "; 2252; 2304;2124;2568
3;3;" White  "; 2833; 2973;2568;4095
3;4;" NONE   ";    0;    0;   0; 600
3;4;" Red    "; 1201; 1232; 600;1370
3;4;" Blue   "; 1507; 1635;1370;1746
3;4;" Yellow "; 1858; 1934;1746;2185
3;4;" White  "; 2436; 2516;2185;4095
3;5;" NONE   ";    0;    0;   0; 460
3;5;" Red    ";  921;  961; 460;1147
3;5;" Blue   "; 1333; 1396;1147;1411
3;5;" Yellow "; 1426; 1604;1411;1797
3;5;" White  "; 1990; 2036;1797;4095
3;6;" NONE   ";    0;    0;   0; 516
3;6;" Red    "; 1032; 1095; 516;1230
3;6;" Blue   "; 1365; 1498;1230;1580
3;6;" Yellow "; 1661; 1716;1580;1934
3;6;" White  "; 2151; 2176;1934;4095
3;7;" NONE   ";    0;    0;   0; 590
3;7;" Red    "; 1181; 1257; 590;1410
3;7;" Blue   "; 1564; 1688;1410;1796
3;7;" Yellow "; 1904; 2095;1796;2336
3;7;" White  "; 2577; 2602;2336;4095
3;8;" NONE   ";    0;    0;   0; 446
3;8;" Red    ";  893; 1005; 446;1164
3;8;" Blue   "; 1323; 1462;1164;1513
3;8;" Yellow "; 1564; 1659;1513;1836
3;8;" White  "; 2012; 2134;1836;4095
3;9;" NONE   ";    0;    0;   0; 489
3;9;" Red    ";  978; 1010; 489;1100
3;9;" Blue   "; 1189; 1493;1100;1508
3;9;" Yellow "; 1524; 1745;1508;1849
3;9;" White  "; 1953; 2160;1849;4095
3;10;" NONE   ";    0;    0;   0; 454
3;10;" Red    ";  908; 1003; 454;1118
3;10;" Blue   "; 1232; 1416;1118;1466
3;10;" Yellow "; 1515; 1608;1466;1778
3;10;" White  "; 1948; 1973;1778;4095
3;11;" NONE   ";    0;    0;   0; 500
3;11;" Red    "; 1000; 1061; 500;1184
3;11;" Blue   "; 1308; 1432;1184;1485
3;11;" Yellow "; 1538; 1726;1485;1934
3;11;" White  "; 2142; 2169;1934;4095
3;12;" NONE   ";    0;    0;   0; 632
3;12;" Red    "; 1263; 1295; 632;1428
3;12;" Blue   "; 1560; 1846;1428;1938
3;12;" Yellow "; 2030; 2048;1938;2310
3;12;" White  "; 2571; 2694;2310;4095
3;13;" NONE   ";    0;    0;   0; 470
3;13;" Red    ";  939; 1061; 470;1178
3;13;" Blue   "; 1295; 1443;1178;1522
3;13;" Yellow "; 1602; 1639;1522;1842
3;13;" White  "; 2045; 2105;1842;4095
3;14;" NONE   ";    0;    0;   0; 660
3;14;" Red    "; 1321; 1382; 660;1528
3;14;" Blue   "; 1675; 2027;1528;2132
3;14;" Yellow "; 2237; 2269;2132;2450
3;14;" White  "; 2630; 2898;2450;4095
3;15;" NONE   ";    0;    0;   0; 666
3;15;" Red    "; 1332; 1364; 666;1548
3;15;" Blue   "; 1732; 1914;1548;2058
3;15;" Yellow "; 2202; 2247;2058;2513
3;15;" White  "; 2779; 2902;2513;4095
