board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0;" NONE   ";  248;  325;   0; 436
1;0;" Black  ";  546;  668; 436;1508
1;0;" Red    "; 2348; 2468;1508;2924
1;0;" Blue   "; 3379; 3629;2924;3593
1;0;" Yellow "; 3557; 3678;3593;3728
1;0;" White  "; 3777; 3794;3728;4095
1;1;" NONE   ";  222;  276;   0; 343
1;1;" Black  ";  410;  436; 343;1198
1;1;" Red    "; 1960; 2121;1198;2458
1;1;" Blue   "; 2795; 3068;2458;3121
1;1;" Yellow "; 3174; 3401;3121;3558
1;1;" White  "; 3714; 3749;3558;4095
1;2;" NONE   ";  255;  306;   0; 356
1;2;" Black  ";  406;  497; 356;1316
1;2;" Red    "; 2135; 2236;1316;2612
1;2;" Blue   "; 2988; 3171;2612;3222
1;2;" Yellow "; 3273; 3534;3222;3632
1;2;" White  "; 3730; 3780;3632;4095
1;3;" NONE   ";  184;  246;   0; 344
1;3;" Black  ";  442;  524; 344;1448
1;3;" Red    "; 2371; 2460;1448;2820
1;3;" Blue   "; 3180; 3286;2820;3489
1;3;" Yellow "; 3692; 3763;3489;3766
1;3;" White  "; 3768; 3797;3766;4095
1;4;" NONE   ";  210;  281;   0; 297
1;4;" Black  ";  313;  379; 297;1142
1;4;" Red    "; 1904; 1952;1142;2216
1;4;" Blue   "; 2480; 2648;2216;2850
1;4;" Yellow "; 3052; 3155;2850;3410
1;4;" White  "; 3664; 3698;3410;4095
1;5;" NONE   ";  257;  334;   0; 272
1;5;" Black  ";  209;  313; 272; 902
1;5;" Red    "; 1490; 1600; 902;1820
1;5;" Blue   "; 2041; 2257;1820;2369
1;5;" Yellow "; 2481; 2605;2369;2728
1;5;" White  "; 2850; 3066;2728;4095
1;6;" NONE   ";  222;  304;   0; 285
1;6;" Black  ";  266;  381; 285;1020
1;6;" Red    "; 1660; 1779;1020;2024
1;6;" Blue   "; 2270; 2459;2024;2572
1;6;" Yellow "; 2684; 2781;2572;3095
1;6;" White  "; 3409; 3496;3095;4095
1;7;" NONE   ";  182;  265;   0; 292
1;7;" Black  ";  320;  368; 292;1128
1;7;" Red    "; 1887; 1939;1128;2241
1;7;" Blue   "; 2543; 2600;2241;2778
1;7;" Yellow "; 2956; 3058;2778;3356
1;7;" White  "; 3655; 3693;3356;4095
1;8;" NONE   ";  206;  273;   0; 320
1;8;" Black  ";  366;  476; 320;1202
1;8;" Red    "; 1927; 2074;1202;2296
1;8;" Blue   "; 2517; 2800;2296;2941
1;8;" Yellow "; 3082; 3300;2941;3499
1;8;" White  "; 3698; 3719;3499;4095
1;9;" NONE   ";  246;  313;   0; 274
1;9;" Black  ";  234;  345; 274; 986
1;9;" Red    "; 1627; 1686; 986;1872
1;9;" Blue   "; 2057; 2374;1872;2440
1;9;" Yellow "; 2506; 2757;2440;3002
1;9;" White  "; 3248; 3323;3002;4095
1;10;" NONE   ";  245;  305;   0; 269
1;10;" Black  ";  233;  308; 269; 953
1;10;" Red    "; 1598; 1692; 953;1897
1;10;" Blue   "; 2102; 2450;1897;2455
1;10;" Yellow "; 2460; 2609;2455;2800
1;10;" White  "; 2992; 3062;2800;4095
1;11;" NONE   ";  240;  302;   0; 284
1;11;" Black  ";  265;  344; 284; 975
1;11;" Red    "; 1606; 1704; 975;1943
1;11;" Blue   "; 2182; 2453;1943;2504
1;11;" Yellow "; 2555; 2752;2504;3034
1;11;" White  "; 3316; 3415;3034;4095
1;12;" NONE   ";  213;  270;   0; 291
1;12;" Black  ";  312;  498; 291;1127
1;12;" Red    "; 1756; 1819;1127;2041
1;12;" Blue   "; 2263; 2713;2041;2710
1;12;" Yellow "; 2708; 3030;2710;3261
1;12;" White  "; 3492; 3617;3261;4095
1;13;" NONE   ";  250;  292;   0; 310
1;13;" Black  ";  328;  388; 310;1076
1;13;" Red    "; 1763; 1821;1076;2079
1;13;" Blue   "; 2337; 2469;2079;2700
1;13;" Yellow "; 2930; 2990;2700;3210
1;13;" White  "; 3429; 3519;3210;4095
1;14;" NONE   ";  228;  277;   0; 281
1;14;" Black  ";  285;  345; 281;1095
1;14;" Red    "; 1845; 1958;1095;2204
1;14;" Blue   "; 2449; 2502;2204;2758
1;14;" Yellow "; 3015; 3091;2758;3325
1;14;" White  "; 3559; 3605;3325;4095
1;15;" NONE   ";  239;  303;   0; 368
1;15;" Black  ";  433;  494; 368;1336
1;15;" Red    "; 2179; 2258;1336;2486
1;15;" Blue   "; 2714; 2895;2486;3076
1;15;" Yellow "; 3258; 3393;3076;3554
1;15;" White  "; 3714; 3741;3554;4095
