board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0;" NONE   ";  205;  336;   0; 420
1;0;" Black  ";  505;  595; 420;1494
1;0;" Red    "; 2393; 2575;1494;2874
1;0;" Blue   "; 3174; 3250;2874;3452
1;0;" Yellow "; 3654; 3741;3452;3750
1;0;" White  "; 3759; 3792;3750;4095
1;1;" NONE   ";  195;  243;   0; 313
1;1;" Black  ";  383;  487; 313;1296
1;1;" Red    "; 2105; 2207;1296;2410
1;1;" Blue   "; 2612; 2870;2410;2950
1;1;" Yellow "; 3031; 3201;2950;3442
1;1;" White  "; 3683; 3713;3442;4095
1;2;" NONE   ";  192;  260;   0; 328
1;2;" Black  ";  396;  519; 328;1357
1;2;" Red    "; 2195; 2354;1357;2598
1;2;" Blue   "; 2841; 2987;2598;3034
1;2;" Yellow "; 3080; 3375;3034;3546
1;2;" White  "; 3717; 3745;3546;4095
1;3;" NONE   ";  130;  173;   0; 342
1;3;" Black  ";  510;  678; 342;1506
1;3;" Red    "; 2335; 2466;1506;2895
1;3;" Blue   "; 3324; 3416;2895;3526
1;3;" Yellow "; 3636; 3687;3526;3721
1;3;" White  "; 3755; 3771;3721;4095
1;4;" NONE   "; -108;  171;   0; 244
1;4;" Black  ";  316;  386; 244;1090
1;4;" Red    "; 1793; 1848;1090;2086
1;4;" Blue   "; 2323; 2568;2086;2692
1;4;" Yellow "; 2816; 2954;2692;3250
1;4;" White  "; 3547; 3655;3250;4095
1;5;" NONE   "; -113;    0;   0; 254
1;5;" Black  ";  508;  685; 254;1020
1;5;" Red    "; 1354; 1539;1020;1728
1;5;" Blue   "; 1918; 2049;1728;2132
1;5;" Yellow "; 2215; 2259;2132;2519
1;5;" White  "; 2779; 3053;2519;4095
1;6;" NONE   "; -132;    0;   0; 247
1;6;" Black  ";  494;  712; 247;1106
1;6;" Red    "; 1500; 1631;1106;1866
1;6;" Blue   "; 2100; 2264;1866;2372
1;6;" Yellow "; 2481; 2687;2372;2768
1;6;" White  "; 2849; 2933;2768;4095
1;7;" NONE   "; -133;    0;   0; 250
1;7;" Black  ";  499;  553; 250;1108
1;7;" Red    "; 1664; 1736;1108;2050
1;7;" Blue   "; 2363; 2484;2050;2590
1;7;" Yellow "; 2697; 2780;2590;3076
1;7;" White  "; 3371; 3611;3076;4095
1;8;" NONE   "; -125;    0;   0; 199
1;8;" Black  ";  398;  495; 199;1125
1;8;" Red    "; 1755; 1879;1125;2114
1;8;" Blue   "; 2350; 2818;2114;2831
1;8;" Yellow "; 2844; 2981;2831;3286
1;8;" White  "; 3592; 3732;3286;4095
1;9;" NONE   "; -131;    0;   0; 157
1;9;" Black  ";  314;  376; 157; 936
1;9;" Red    "; 1497; 1574; 936;1768
1;9;" Blue   "; 1962; 2371;1768;2412
1;9;" Yellow "; 2454; 2525;2412;2896
1;9;" White  "; 3268; 3380;2896;4095
1;10;" NONE   "; -118;    0;   0; 124
1;10;" Black  ";  247;  393; 124; 930
1;10;" Red    "; 1467; 1580; 930;1768
1;10;" Blue   "; 1957; 2234;1768;2312
1;10;" Yellow "; 2389; 2505;2312;2766
1;10;" White  "; 3027; 3075;2766;4095
1;11;" NONE   ";  147;  194;   0; 302
1;11;" Black  ";  410;  542; 302;1075
1;11;" Red    "; 1608; 1712;1075;1890
1;11;" Blue   "; 2069; 2341;1890;2424
1;11;" Yellow "; 2507; 2683;2424;2963
1;11;" White  "; 3243; 3353;2963;4095
1;12;" NONE   ";  155;  221;   0; 264
1;12;" Black  ";  306;  360; 264;1114
1;12;" Red    "; 1868; 1943;1114;2102
1;12;" Blue   "; 2262; 2328;2102;2524
1;12;" Yellow "; 2719; 2837;2524;3102
1;12;" White  "; 3367; 3431;3102;4095
1;13;" NONE   ";  180;  229;   0; 273
1;13;" Black  ";  317;  363; 273;1080
1;13;" Red    "; 1796; 2006;1080;2142
1;13;" Blue   "; 2279; 2353;2142;2555
1;13;" Yellow "; 2757; 2869;2555;3107
1;13;" White  "; 3345; 3438;3107;4095
1;14;" NONE   ";  149;  228;   0; 277
1;14;" Black  ";  326;  391; 277;1162
1;14;" Red    "; 1933; 1986;1162;2126
1;14;" Blue   "; 2266; 2520;2126;2616
1;14;" Yellow "; 2711; 3054;2616;3250
1;14;" White  "; 3447; 3526;3250;4095
1;15;" NONE   ";  171;  252;   0; 320
1;15;" Black  ";  387;  506; 320;1331
1;15;" Red    "; 2156; 2216;1331;2452
1;15;" Blue   "; 2688; 2725;2452;2942
1;15;" Yellow "; 3158; 3271;2942;3479
1;15;" White  "; 3687; 3729;3479;4095
