board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0;" NONE   ";  121;  164;   0; 334
1;0;" Black  ";  503;  570; 334;1434
1;0;" Red    "; 2298; 2335;1434;2595
1;0;" Blue   "; 2855; 3105;2595;3276
1;0;" Yellow "; 3446; 3620;3276;3695
1;0;" White  "; 3770; 3783;3695;4095
1;1;" NONE   ";   44;   96;   0; 216
1;1;" Black  ";  337;  392; 216;1134
1;1;" Red    "; 1876; 1909;1134;2120
1;1;" Blue   "; 2331; 2668;2120;2793
1;1;" Yellow "; 2918; 3018;2793;3341
1;1;" White  "; 3664; 3735;3341;4095
1;2;" NONE   ";   91;  143;   0; 263
1;2;" Black  ";  383;  416; 263;1226
1;2;" Red    "; 2037; 2099;1226;2276
1;2;" Blue   "; 2452; 2792;2276;2880
1;2;" Yellow "; 2967; 3237;2880;3474
1;2;" White  "; 3711; 3749;3474;4095
1;3;" NONE   ";   34;   71;   0; 253
1;3;" Black  ";  435;  507; 253;1348
1;3;" Red    "; 2189; 2253;1348;2468
1;3;" Blue   "; 2684; 2911;2468;3190
1;3;" Yellow "; 3469; 3504;3190;3624
1;3;" White  "; 3744; 3780;3624;4095
1;4;" NONE   ";   66;  131;   0; 218
1;4;" Black  ";  306;  330; 218;1032
1;4;" Red    "; 1735; 1773;1032;2044
1;4;" Blue   "; 2314; 2367;2044;2571
1;4;" Yellow "; 2775; 2817;2571;3076
1;4;" White  "; 3335; 3494;3076;4095
1;5;" NONE   ";   78;  147;   0; 196
1;5;" Black  ";  246;  359; 196; 904
1;5;" Red    "; 1448; 1498; 904;1690
1;5;" Blue   "; 1882; 1953;1690;2108
1;5;" Yellow "; 2264; 2301;2108;2538
1;5;" White  "; 2775; 2804;2538;4095
1;6;" NONE   ";   80;  115;   0; 186
1;6;" Black  ";  258;  302; 186; 920
1;6;" Red    "; 1538; 1660; 920;1896
1;6;" Blue   "; 2132; 2222;1896;2376
1;6;" Yellow "; 2531; 2577;2376;2867
1;6;" White  "; 3157; 3247;2867;4095
1;7;" NONE   ";   22;   54;   0; 154
1;7;" Black  ";  253;  371; 154; 994
1;7;" Red    "; 1617; 1722; 994;1970
1;7;" Blue   "; 2219; 2330;1970;2514
1;7;" Yellow "; 2699; 2743;2514;3039
1;7;" White  "; 3335; 3422;3039;4095
1;8;" NONE   ";   92;  167;   0; 244
1;8;" Black  ";  320;  428; 244;1112
1;8;" Red    "; 1796; 1881;1112;2093
1;8;" Blue   "; 2305; 2451;2093;2725
1;8;" Yellow "; 2999; 3037;2725;3263
1;8;" White  "; 3489; 3660;3263;4095
1;9;" NONE   ";   75;  124;   0; 146
1;9;" Black  ";  167;  254; 146; 877
1;9;" Red    "; 1500; 1546; 877;1702
1;9;" Blue   "; 1859; 1986;1702;2196
1;9;" Yellow "; 2406; 2460;2196;2674
1;9;" White  "; 2887; 2983;2674;4095
1;10;" NONE   ";   76;  125;   0; 178
1;10;" Black  ";  231;  271; 178; 884
1;10;" Red    "; 1497; 1558; 884;1706
1;10;" Blue   "; 1853; 1900;1706;2144
1;10;" Yellow "; 2387; 2414;2144;2638
1;10;" White  "; 2862; 2942;2638;4095
1;11;" NONE   ";  100;  192;   0; 208
1;11;" Black  ";  224;  343; 208; 960
1;11;" Red    "; 1576; 1596; 960;1758
1;11;" Blue   "; 1920; 2024;1758;2217
1;11;" Yellow "; 2410; 2494;2217;2723
1;11;" White  "; 2952; 3116;2723;4095
1;12;" NONE   ";   70;  110;   0; 216
1;12;" Black  ";  322;  400; 216; 996
1;12;" Red    "; 1593; 1659; 996;1906
1;12;" Blue   "; 2154; 2223;1906;2384
1;12;" Yellow "; 2544; 2598;2384;2947
1;12;" White  "; 3296; 3385;2947;4095
1;13;" NONE   ";   77;  131;   0; 214
1;13;" Black  ";  297;  346; 214;1006
1;13;" Red    "; 1667; 1735;1006;1955
1;13;" Blue   "; 2175; 2231;1955;2387
1;13;" Yellow "; 2543; 2621;2387;2870
1;13;" White  "; 3119; 3311;2870;4095
1;14;" NONE   ";   50;   76;   0; 172
1;14;" Black  ";  269;  312; 172; 977
1;14;" Red    "; 1642; 1711; 977;1978
1;14;" Blue   "; 2246; 2295;1978;2446
1;14;" Yellow "; 2596; 2686;2446;3002
1;14;" White  "; 3318; 3424;3002;4095
1;15;" NONE   ";   72;  117;   0; 248
1;15;" Black  ";  378;  413; 248;1171
1;15;" Red    "; 1929; 1945;1171;2274
1;15;" Blue   "; 2604; 2677;2274;2857
1;15;" Yellow "; 3037; 3090;2857;3396
1;15;" White  "; 3701; 3738;3396;4095
