board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0;" NONE   ";    0;   11;   0; 213
1;0;" Black  ";  415;  489; 213;1280
1;0;" Red    "; 2072; 2149;1280;2354
1;0;" Blue   "; 2558; 2726;2354;3002
1;0;" Yellow "; 3278; 3347;3002;3556
1;0;" White  "; 3766; 3793;3556;4095
1;1;" NONE   ";    0;    0;   0; 130
1;1;" Black  ";  260;  380; 130;1008
1;1;" Red    "; 1637; 1710;1008;2012
1;1;" Blue   "; 2313; 2395;2012;2540
1;1;" Yellow "; 2685; 2815;2540;3110
1;1;" White  "; 3404; 3532;3110;4095
1;2;" NONE   ";    0;   20;   0; 150
1;2;" Black  ";  280;  484; 150;1174
1;2;" Red    "; 1863; 1931;1174;2158
1;2;" Blue   "; 2385; 2518;2158;2713
1;2;" Yellow "; 2908; 3048;2713;3252
1;2;" White  "; 3456; 3484;3252;4095
1;3;" NONE   ";    0;    8;   0; 196
1;3;" Black  ";  385;  501; 196;1256
1;3;" Red    "; 2010; 2123;1256;2398
1;3;" Blue   "; 2672; 2805;2398;3015
1;3;" Yellow "; 3225; 3314;3015;3531
1;3;" White  "; 3748; 3770;3531;4095
1;4;" NONE   ";    0;    0;   0; 122
1;4;" Black  ";  243;  348; 122; 968
1;4;" Red    "; 1587; 1669; 968;1881
1;4;" Blue   "; 2093; 2205;1881;2364
1;4;" Yellow "; 2524; 2620;2364;2904
1;4;" White  "; 3187; 3257;2904;4095
1;5;" NONE   ";    0;    8;   0;  70
1;5;" Black  ";  132;  206;  70; 755
1;5;" Red    "; 1304; 1350; 755;1532
1;5;" Blue   "; 1713; 1830;1532;1940
1;5;" Yellow "; 2050; 2129;1940;2344
1;5;" White  "; 2559; 2741;2344;4095
1;6;" NONE   ";    0;    0;   0; 100
1;6;" Black  ";  199;  318; 100; 910
1;6;" Red    "; 1503; 1571; 910;1736
1;6;" Blue   "; 1900; 2119;1736;2195
1;6;" Yellow "; 2271; 2384;2195;2619
1;6;" White  "; 2854; 3029;2619;4095
1;7;" NONE   ";    0;   14;   0; 124
1;7;" Black  ";  235;  274; 124; 884
1;7;" Red    "; 1494; 1575; 884;1816
1;7;" Blue   "; 2057; 2255;1816;2325
1;7;" Yellow "; 2395; 2599;2325;2862
1;7;" White  "; 3124; 3189;2862;4095
1;8;" NONE   ";    0;    9;   0; 174
1;8;" Black  ";  339;  391; 174;1041
1;8;" Red    "; 1691; 1739;1041;1942
1;8;" Blue   "; 2145; 2232;1942;2402
1;8;" Yellow "; 2571; 2649;2402;2979
1;8;" White  "; 3309; 3387;2979;4095
1;9;" NONE   ";    0;   18;   0; 101
1;9;" Black  ";  184;  219; 101; 792
1;9;" Red    "; 1365; 1467; 792;1618
1;9;" Blue   "; 1768; 1871;1618;2042
1;9;" Yellow "; 2212; 2242;2042;2464
1;9;" White  "; 2685; 2779;2464;4095
1;10;" NONE   ";    0;    6;   0; 103
1;10;" Black  ";  200;  246; 103; 798
1;10;" Red    "; 1350; 1394; 798;1563
1;10;" Blue   "; 1732; 1828;1563;1980
1;10;" Yellow "; 2133; 2176;1980;2440
1;10;" White  "; 2705; 2770;2440;4095
1;11;" NONE   ";    0;    6;   0; 101
1;11;" Black  ";  196;  286; 101; 859
1;11;" Red    "; 1432; 1502; 859;1658
1;11;" Blue   "; 1815; 1913;1658;2070
1;11;" Yellow "; 2226; 2260;2070;2490
1;11;" White  "; 2719; 2866;2490;4095
1;12;" NONE   ";    0;    0;   0; 127
1;12;" Black  ";  254;  317; 127; 902
1;12;" Red    "; 1488; 1571; 902;1766
1;12;" Blue   "; 1962; 2229;1766;2354
1;12;" Yellow "; 2479; 2547;2354;2750
1;12;" White  "; 2952; 3039;2750;4095
1;13;" NONE   ";    0;   13;   0; 110
1;13;" Black  ";  208;  273; 110; 898
1;13;" Red    "; 1522; 1560; 898;1745
1;13;" Blue   "; 1930; 2120;1745;2262
1;13;" Yellow "; 2405; 2501;2262;2754
1;13;" White  "; 3006; 3134;2754;4095
1;14;" NONE   ";    0;   24;   0; 116
1;14;" Black  ";  208;  281; 116; 916
1;14;" Red    "; 1550; 1605; 916;1782
1;14;" Blue   "; 1959; 2301;1782;2366
1;14;" Yellow "; 2430; 2493;2366;2691
1;14;" White  "; 2889; 3103;2691;4095
1;15;" NONE   ";    0;    0;   0; 142
1;15;" Black  ";  285;  402; 142;1054
1;15;" Red    "; 1705; 1813;1054;2068
1;15;" Blue   "; 2322; 2525;2068;2657
1;15;" Yellow "; 2789; 2845;2657;3152
1;15;" White  "; 3459; 3586;3152;4095

