board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0; NONE   ;   56;   94;   0; 320
1;0; Black  ;  547;  699; 320;1454
1;0; Red    ; 2208; 2288;1454;2546
1;0; Blue   ; 2803; 3052;2546;3203
1;0; Yellow ; 3354; 3735;3203;3754
1;0; White  ; 3772; 3796;3754;4095
1;1; NONE   ;    8;   66;   0; 209
1;1; Black  ;  352;  503; 209;1162
1;1; Red    ; 1822; 1934;1162;2128
1;1; Blue   ; 2323; 2356;2128;2644
1;1; Yellow ; 2931; 3022;2644;3316
1;1; White  ; 3610; 3643;3316;4095
1;2; NONE   ;    5;   90;   0; 278
1;2; Black  ;  466;  509; 278;1243
1;2; Red    ; 1977; 2011;1243;2202
1;2; Blue   ; 2394; 2599;2202;2854
1;2; Yellow ; 3108; 3308;2854;3508
1;2; White  ; 3709; 3758;3508;4095
1;3; NONE   ;    0;   30;   0; 250
1;3; Black  ;  471;  563; 250;1378
1;3; Red    ; 2192; 2262;1378;2504
1;3; Blue   ; 2745; 2979;2504;3084
1;3; Yellow ; 3190; 3410;3084;3584
1;3; White  ; 3759; 3783;3584;4095
1;4; NONE   ;    6;   58;   0; 188
1;4; Black  ;  319;  388; 188;1061
1;4; Red    ; 1734; 1796;1061;1960
1;4; Blue   ; 2125; 2227;1960;2394
1;4; Yellow ; 2562; 2881;2394;3138
1;4; White  ; 3395; 3439;3138;4095
1;5; NONE   ;   38;   86;   0; 158
1;5; Black  ;  229;  364; 158; 888
1;5; Red    ; 1412; 1463; 888;1645
1;5; Blue   ; 1827; 1886;1645;2028
1;5; Yellow ; 2169; 2240;2028;2489
1;5; White  ; 2738; 2841;2489;4095
1;6; NONE   ;   21;   75;   0; 166
1;6; Black  ;  257;  317; 166; 922
1;6; Red    ; 1528; 1597; 922;1767
1;6; Blue   ; 1937; 2037;1767;2229
1;6; Yellow ; 2421; 2465;2229;2811
1;6; White  ; 3157; 3186;2811;4095
1;7; NONE   ;    0;   30;   0; 160
1;7; Black  ;  289;  485; 160;1070
1;7; Red    ; 1656; 1736;1070;1940
1;7; Blue   ; 2145; 2245;1940;2482
1;7; Yellow ; 2718; 2761;2482;3058
1;7; White  ; 3354; 3447;3058;4095
1;8; NONE   ;   44;   83;   0; 206
1;8; Black  ;  328;  388; 206;1098
1;8; Red    ; 1809; 1842;1098;2140
1;8; Blue   ; 2439; 2497;2140;2672
1;8; Yellow ; 2847; 2951;2672;3265
1;8; White  ; 3579; 3612;3265;4095
1;9; NONE   ;   16;   82;   0; 144
1;9; Black  ;  206;  249; 144; 854
1;9; Red    ; 1460; 1586; 854;1802
1;9; Blue   ; 2017; 2078;1802;2202
1;9; Yellow ; 2325; 2346;2202;2610
1;9; White  ; 2873; 3016;2610;4095
1;10; NONE   ;   24;   70;   0; 129
1;10; Black  ;  188;  276; 129; 866
1;10; Red    ; 1456; 1533; 866;1726
1;10; Blue   ; 1919; 2086;1726;2182
1;10; Yellow ; 2277; 2358;2182;2594
1;10; White  ; 2831; 2855;2594;4095
1;11; NONE   ;   41;   87;   0; 160
1;11; Black  ;  232;  278; 160; 932
1;11; Red    ; 1587; 1649; 932;1866
1;11; Blue   ; 2082; 2134;1866;2233
1;11; Yellow ; 2332; 2440;2233;2696
1;11; White  ; 2952; 3090;2696;4095
1;12; NONE   ;    0;   46;   0; 155
1;12; Black  ;  264;  312; 155; 955
1;12; Red    ; 1598; 1661; 955;1886
1;12; Blue   ; 2111; 2215;1886;2404
1;12; Yellow ; 2593; 2632;2404;2866
1;12; White  ; 3100; 3133;2866;4095
1;13; NONE   ;    0;   62;   0; 172
1;13; Black  ;  283;  324; 172; 998
1;13; Red    ; 1673; 1703; 998;1884
1;13; Blue   ; 2066; 2422;1884;2472
1;13; Yellow ; 2521; 2669;2472;2882
1;13; White  ; 3094; 3181;2882;4095
1;14; NONE   ;    6;   40;   0; 150
1;14; Black  ;  261;  357; 150; 992
1;14; Red    ; 1626; 1755; 992;1997
1;14; Blue   ; 2239; 2324;1997;2476
1;14; Yellow ; 2629; 2680;2476;2968
1;14; White  ; 3256; 3323;2968;4095
1;15; NONE   ;   22;   65;   0; 206
1;15; Black  ;  346;  437; 206;1160
1;15; Red    ; 1882; 1915;1160;2327
1;15; Blue   ; 2739; 2776;2327;2906
1;15; Yellow ; 3036; 3103;2906;3387
1;15; White  ; 3671; 3729;3387;4095
