board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
3;0;" NONE   ";    0;    0;   0; 736
3;0;" Red    "; 1473; 1526; 736;1765
3;0;" Blue   "; 2004; 2148;1765;2280
3;0;" Yellow "; 2412; 2479;2280;2769
3;0;" White  "; 3059; 3143;2769;4095
3;1;" NONE   ";    0;    0;   0; 684
3;1;" Red    "; 1369; 1499; 684;1665
3;1;" Blue   "; 1831; 2156;1665;2180
3;1;" Yellow "; 2203; 2391;2180;2674
3;1;" White  "; 2957; 3051;2674;4095
3;2;" NONE   ";    0;    0;   0; 644
3;2;" Red    "; 1288; 1323; 644;1456
3;2;" Blue   "; 1589; 1743;1456;1868
3;2;" Yellow "; 1993; 2094;1868;2330
3;2;" White  "; 2566; 2712;2330;4095
3;3;" NONE   ";    0;    0;   0; 708
3;3;" Red    "; 1415; 1443; 708;1582
3;3;" Blue   "; 1720; 2011;1582;2141
3;3;" Yellow "; 2271; 2324;2141;2581
3;3;" White  "; 2838; 2992;2581;4095
3;4;" NONE   ";    0;    0;   0; 580
3;4;" Red    "; 1159; 1235; 580;1340
3;4;" Blue   "; 1446; 1621;1340;1730
3;4;" Yellow "; 1839; 1960;1730;2154
3;4;" White  "; 2347; 2429;2154;4095
3;5;" NONE   ";    0;    0;   0; 466
3;5;" Red    ";  933;  952; 466;1077
3;5;" Blue   "; 1202; 1356;1077;1476
3;5;" Yellow "; 1596; 1619;1476;1738
3;5;" White  "; 1857; 2020;1738;4095
3;6;" NONE   ";    0;    0;   0; 526
3;6;" Red    "; 1053; 1091; 526;1196
3;6;" Blue   "; 1301; 1529;1196;1596
3;6;" Yellow "; 1662; 1683;1596;1888
3;6;" White  "; 2092; 2113;1888;4095
3;7;" NONE   ";    0;    0;   0; 618
3;7;" Red    "; 1237; 1257; 618;1424
3;7;" Blue   "; 1591; 1722;1424;1904
3;7;" Yellow "; 2087; 2117;1904;2338
3;7;" White  "; 2560; 2623;2338;4095
3;8;" NONE   ";    0;    0;   0; 460
3;8;" Red    ";  920; 1023; 460;1160
3;8;" Blue   "; 1298; 1434;1160;1500
3;8;" Yellow "; 1565; 1721;1500;1887
3;8;" White  "; 2053; 2088;1887;4095
3;9;" NONE   ";    0;    0;   0; 465
3;9;" Red    ";  930; 1024; 465;1169
3;9;" Blue   "; 1314; 1501;1169;1560
3;9;" Yellow "; 1620; 1665;1560;1868
3;9;" White  "; 2071; 2105;1868;4095
3;10;" NONE   ";    0;    0;   0; 443
3;10;" Red    ";  886;  998; 443;1120
3;10;" Blue   "; 1241; 1362;1120;1422
3;10;" Yellow "; 1481; 1496;1422;1721
3;10;" White  "; 1946; 2004;1721;4095
3;11;" NONE   ";    0;    0;   0; 488
3;11;" Red    ";  977; 1042; 488;1192
3;11;" Blue   "; 1341; 1467;1192;1553
3;11;" Yellow "; 1639; 1686;1553;1891
3;11;" White  "; 2096; 2174;1891;4095
3;12;" NONE   ";    0;    0;   0; 610
3;12;" Red    "; 1219; 1293; 610;1510
3;12;" Blue   "; 1726; 1838;1510;1950
3;12;" Yellow "; 2063; 2112;1950;2352
3;12;" White  "; 2593; 2671;2352;4095
3;13;" NONE   ";    0;    0;   0; 480
3;13;" Red    ";  961;  999; 480;1172
3;13;" Blue   "; 1345; 1376;1172;1470
3;13;" Yellow "; 1564; 1693;1470;1838
3;13;" White  "; 1983; 2124;1838;4095
3;14;" NONE   ";    0;    0;   0; 664
3;14;" Red    "; 1328; 1409; 664;1589
3;14;" Blue   "; 1769; 1877;1589;1961
3;14;" Yellow "; 2045; 2317;1961;2562
3;14;" White  "; 2806; 2912;2562;4095
3;15;" NONE   ";    0;    0;   0; 681
3;15;" Red    "; 1362; 1402; 681;1630
3;15;" Blue   "; 1858; 1940;1630;2068
3;15;" Yellow "; 2195; 2358;2068;2517
3;15;" White  "; 2676; 2792;2517;4095
