none,orange,red,green,blue,white
0,822,1127,1441,2000,3039
0,819,1120,1407,2008,3051
0,825,1166,1496,2194,3205
0,927,1294,1632,2409,3232
0,1036,1439,1829,2641,3244
0,832,1169,1503,2117,3150
0,953,1382,1763,2598,3246
0,846,1233,1585,2282,3205
0,1066,1462,1870,2709,3240
0,997,1411,1795,2592,3231
0,964,1383,1756,2526,3226
0,1067,1524,1940,2792,3420
0,1024,1414,1782,2566,3395
0,946,1351,1710,2423,3387
0,872,1241,1576,2287,3334
0,865,1228,1532,2194,3326
0,697,1007,1243,1759,2676
0,704,981,1229,1756,2680
0,859,1181,1495,2224,3305
0,766,1066,1325,1919,3001
0,709,1009,1270,1789,2865
0,770,1098,1360,1903,2948
0,788,1104,1405,2025,3162
0,808,1106,1431,2042,3196
0,806,1140,1439,2026,3108
0,887,1248,1556,2256,3325
0,835,1206,1497,2160,3289
0,999,1413,1762,2610,3389
0,1146,1605,2015,2921,3404
0,1079,1500,1912,2693,3391
0,945,1303,1650,2388,3356
0,920,1286,1625,2353,3353
0,854,1196,1491,2144,3266
0,815,1145,1464,2095,3238
0,898,1231,1547,2265,3308
0,847,1164,1459,2131,3236
0,1055,1465,1867,2670,3374
0,814,1149,1424,2024,3117
0,868,1252,1604,2304,3321
0,882,1228,1559,2295,3317
0,902,1251,1569,2245,3315
0,975,1375,1754,2550,3354
0,986,1357,1707,2477,3351
0,1061,1459,1830,2738,3292
0,1112,1588,2029,2929,3293
0,895,1322,1682,2410,3261
0,876,1200,1588,2332,3249
0,857,1219,1573,2287,3242
0,784,1117,1367,1976,3075
0,681,963,1251,1796,2796
0,904,1245,1581,2345,3214
0,874,1211,1538,2268,3228
0,752,1058,1382,1944,3032
0,691,992,1242,1760,2803
0,694,1003,1259,1902,2965
0,756,1048,1336,1947,3095
0,818,1184,1470,2142,3162
0,855,1242,1620,2318,3231
0,950,1321,1660,2427,3245
