board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;6;" NONE   ";0;42;0;466
1;6;" Orange ";890;1059;466;1178
1;6;" Red    ";1265;1392;1178;1475
1;6;" Green  ";1574;1702;1475;2007
1;6;" Blue   ";2325;2444;2007;2922
1;6;" White  ";3401;3621;2922;4095
1;7;" NONE   ";0;3;0;448
1;7;" Orange ";893;1046;448;1225
1;7;" Red    ";1335;1443;1225;1546
1;7;" Green  ";1666;1813;1546;2061
1;7;" Blue   ";2414;2566;2061;3096
1;7;" White  ";3626;3658;3096;4095
1;8;" NONE   ";0;31;0;505
1;8;" Orange ";980;1153;505;1333
1;8;" Red    ";1428;1529;1333;1664
1;8;" Green  ";1826;1988;1664;2239
1;8;" Blue   ";2566;2796;2239;3226
1;8;" White  ";3656;3672;3226;4095
1;9;" NONE   ";0;22;0;431
1;9;" Orange ";841;945;431;1042
1;9;" Red    ";1172;1337;1042;1413
1;9;" Green  ";1485;1643;1413;1874
1;9;" Blue   ";2129;2262;1874;2728
1;9;" White  ";3194;3469;2728;4095
1;10;" NONE   ";0;39;0;411
1;10;" Orange ";783;986;411;1116
1;10;" Red    ";1157;1237;1116;1291
1;10;" Green  ";1413;1552;1291;1703
1;10;" Blue   ";2037;2216;1703;2678
1;10;" White  ";3140;3399;2678;4095
1;11;" NONE   ";0;18;0;447
1;11;" Orange ";876;1046;447;1173
1;11;" Red    ";1245;1345;1173;1449
1;11;" Green  ";1578;1694;1449;1926
1;11;" Blue   ";2250;2387;1926;2850
1;11;" White  ";3313;3581;2850;4095
1;12;" NONE   ";0;22;0;454
1;12;" Orange ";886;1071;454;1169
1;12;" Red    ";1255;1414;1169;1503
1;12;" Green  ";1637;1811;1503;2082
1;12;" Blue   ";2383;2537;2082;3042
1;12;" White  ";3547;3632;3042;4095
1;13;" NONE   ";0;33;0;472
1;13;" Orange ";911;1066;472;1191
1;13;" Red    ";1322;1508;1191;1596
1;13;" Green  ";1657;1788;1596;1989
1;13;" Blue   ";2378;2576;1989;3054
1;13;" White  ";3533;3638;3054;4095
1;14;" NONE   ";0;5;0;460
1;14;" Orange ";915;1120;460;1271
1;14;" Red    ";1336;1428;1271;1486
1;14;" Green  ";1638;1799;1486;2026
1;14;" Blue   ";2339;2493;2026;3054
1;14;" White  ";3616;3642;3054;4095
1;15;" NONE   ";0;38;0;552
1;15;" Orange ";1066;1249;552;1393
1;15;" Red    ";1489;1624;1393;1762
1;15;" Green  ";1883;1995;1762;2286
1;15;" Blue   ";2743;2894;2286;3271
1;15;" White  ";3648;3668;3271;4095
2;0;" NONE   ";0;0;0;531
2;0;" Orange ";1063;1320;531;1492
2;0;" Red    ";1561;1676;1492;1787
2;0;" Green  ";1965;2164;1787;2557
2;0;" Blue   ";2891;3117;2557;3416
2;0;" White  ";3715;3733;3416;4095
2;1;" NONE   ";0;0;0;512
2;1;" Orange ";1025;1192;512;1411
2;1;" Red    ";1539;1636;1411;1765
2;1;" Green  ";1938;2089;1765;2372
2;1;" Blue   ";2805;3013;2372;3368
2;1;" White  ";3723;3732;3368;4095
2;2;" NONE   ";0;0;0;410
2;2;" Orange ";821;1015;410;1201
2;2;" Red    ";1316;1420;1201;1507
2;2;" Green  ";1617;1761;1507;2103
2;2;" Blue   ";2404;2525;2103;3029
2;2;" White  ";3534;3689;3029;4095
2;3;" NONE   ";0;0;0;514
2;3;" Orange ";1029;1210;514;1442
2;3;" Red    ";1502;1559;1442;1628
2;3;" Green  ";1874;2047;1628;2340
2;3;" Blue   ";2746;2923;2340;3312
2;3;" White  ";3701;3723;3312;4095
2;4;" NONE   ";0;497;0;804
2;4;" Orange ";1111;1219;804;1397
2;4;" Red    ";1508;1565;1397;1695
2;4;" Green  ";2026;2126;1695;2390
2;4;" Blue   ";3085;3240;2390;2710
2;4;" White  ";2180;2330;2710;4095
2;5;" NONE   ";0;2325;0;1382
2;5;" Orange ";439;502;1382;710
2;5;" Red    ";1114;1221;710;1392
2;5;" Green  ";1510;1572;1392;1708
2;5;" Blue   ";2032;2132;1708;2614
2;5;" White  ";3096;3248;2614;4095
2;6;" NONE   ";0;9;0;412
2;6;" Orange ";816;980;412;1108
2;6;" Red    ";1172;1299;1108;1365
2;6;" Green  ";1435;1641;1365;1953
2;6;" Blue   ";2122;2257;1953;2664
2;6;" White  ";3072;3437;2664;4095
2;7;" NONE   ";0;24;0;444
2;7;" Orange ";864;1010;444;1157
2;7;" Red    ";1267;1366;1157;1443
2;7;" Green  ";1576;1756;1443;2022
2;7;" Blue   ";2317;2503;2022;3068
2;7;" White  ";3634;3677;3068;4095
2;8;" NONE   ";0;0;0;436
2;8;" Orange ";872;1044;436;1249
2;8;" Red    ";1334;1428;1249;1508
2;8;" Green  ";1640;1827;1508;2149
2;8;" Blue   ";2456;2587;2149;3120
2;8;" White  ";3654;3691;3120;4095
2;9;" NONE   ";0;0;0;363
2;9;" Orange ";726;857;363;974
2;9;" Red    ";1048;1181;974;1252
2;9;" Green  ";1324;1466;1252;1678
2;9;" Blue   ";1950;2087;1678;2533
2;9;" White  ";2980;3295;2533;4095
2;10;" NONE   ";0;0;0;396
2;10;" Orange ";792;905;396;1081
2;10;" Red    ";1197;1266;1081;1348
2;10;" Green  ";1511;1599;1348;1705
2;10;" Blue   ";2166;2353;1705;2848
2;10;" White  ";3343;3600;2848;4095
2;11;" NONE   ";0;0;0;433
2;11;" Orange ";866;1011;433;1170
2;11;" Red    ";1234;1303;1170;1414
2;11;" Green  ";1573;1705;1414;2041
2;11;" Blue   ";2421;2604;2041;3131
2;11;" White  ";3658;3685;3131;4095
2;12;" NONE   ";0;0;0;468
2;12;" Orange ";937;1109;468;1271
2;12;" Red    ";1362;1484;1271;1603
2;12;" Green  ";1748;1896;1603;2147
2;12;" Blue   ";2583;2774;2147;3223
2;12;" White  ";3672;3703;3223;4095
2;13;" NONE   ";0;0;0;431
2;13;" Orange ";863;978;431;1135
2;13;" Red    ";1271;1394;1135;1477
2;13;" Green  ";1587;1756;1477;2001
2;13;" Blue   ";2355;2547;2001;3056
2;13;" White  ";3566;3671;3056;4095
2;14;" NONE   ";0;0;0;514
2;14;" Orange ";1028;1245;514;1438
2;14;" Red    ";1517;1621;1438;1714
2;14;" Green  ";1908;2123;1714;2487
2;14;" Blue   ";2885;3118;2487;3410
2;14;" White  ";3703;3720;3410;4095
2;15;" NONE   ";0;0;0;435
2;15;" Orange ";871;1041;435;1190
2;15;" Red    ";1258;1334;1190;1404
2;15;" Green  ";1542;1678;1404;1903
2;15;" Blue   ";2246;2427;1903;2919
2;15;" White  ";3411;3644;2919;4095
3;0;" NONE   ";0;0;0;227
3;0;" Orange ";455;570;227;659
3;0;" Red    ";743;836;659;901
3;0;" Green  ";977;1064;901;1192
3;0;" Blue   ";1457;1586;1192;1964
3;0;" White  ";2342;2548;1964;4095
3;1;" NONE   ";0;0;0;216
3;1;" Orange ";433;541;216;653
3;1;" Red    ";744;801;653;861
3;1;" Green  ";991;1092;861;1317
3;1;" Blue   ";1501;1581;1317;1988
3;1;" White  ";2396;2571;1988;4095
3;2;" NONE   ";0;0;0;165
3;2;" Orange ";331;458;165;573
3;2;" Red    ";626;685;573;769
3;2;" Green  ";856;913;769;1059
3;2;" Blue   ";1268;1338;1059;1624
3;2;" White  ";1911;2143;1624;4095
3;3;" NONE   ";0;0;0;180
3;3;" Orange ";361;524;180;659
3;3;" Red    ";691;725;659;760
3;3;" Green  ";914;999;760;1131
3;3;" Blue   ";1368;1497;1131;1839
3;3;" White  ";2181;2348;1839;4095
3;4;" NONE   ";0;0;0;174
3;4;" Orange ";348;420;174;501
3;4;" Red    ";581;638;501;710
3;4;" Green  ";810;881;710;942
3;4;" Blue   ";1170;1344;942;1734
3;4;" White  ";2124;2198;1734;4095
3;5;" NONE   ";0;0;0;83
