board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0;" NONE   ";    0;   22;   0; 212
1;0;" Black  ";  401;  479; 212;1274
1;0;" Red    "; 2068; 2131;1274;2357
1;0;" Blue   "; 2583; 2943;2357;3068
1;0;" Yellow "; 3194; 3359;3068;3564
1;0;" White  "; 3768; 3792;3564;4095
1;1;" NONE   ";    0;   25;   0; 172
1;1;" Black  ";  320;  404; 172;1052
1;1;" Red    "; 1700; 1735;1052;1951
1;1;" Blue   "; 2167; 2437;1951;2564
1;1;" Yellow "; 2690; 2913;2564;3116
1;1;" White  "; 3319; 3474;3116;4095
1;2;" NONE   ";    0;   97;   0; 226
1;2;" Black  ";  355;  467; 226;1170
1;2;" Red    "; 1872; 1892;1170;2094
1;2;" Blue   "; 2295; 2563;2094;2704
1;2;" Yellow "; 2844; 2911;2704;3232
1;2;" White  "; 3554; 3668;3232;4095
1;3;" NONE   ";    0;    0;   0; 198
1;3;" Black  ";  395;  486; 198;1266
1;3;" Red    "; 2047; 2082;1266;2376
1;3;" Blue   "; 2670; 3023;2376;3134
1;3;" Yellow "; 3246; 3381;3134;3570
1;3;" White  "; 3758; 3768;3570;4095
1;4;" NONE   ";    0;    0;   0; 138
1;4;" Black  ";  275;  311; 138; 967
1;4;" Red    "; 1623; 1674; 967;1860
1;4;" Blue   "; 2045; 2195;1860;2308
1;4;" Yellow "; 2420; 2505;2308;2832
1;4;" White  "; 3160; 3301;2832;4095
1;5;" NONE   ";    0;   49;   0; 121
1;5;" Black  ";  193;  237; 121; 771
1;5;" Red    "; 1305; 1341; 771;1529
1;5;" Blue   "; 1717; 1736;1529;1894
1;5;" Yellow "; 2051; 2250;1894;2455
1;5;" White  "; 2660; 2802;2455;4095
1;6;" NONE   ";    0;    0;   0; 100
1;6;" Black  ";  201;  311; 100; 919
1;6;" Red    "; 1527; 1575; 919;1724
1;6;" Blue   "; 1872; 2056;1724;2142
1;6;" Yellow "; 2227; 2328;2142;2600
1;6;" White  "; 2871; 3025;2600;4095
1;7;" NONE   ";    0;    0;   0; 132
1;7;" Black  ";  264;  326; 132; 950
1;7;" Red    "; 1574; 1663; 950;1842
1;7;" Blue   "; 2020; 2082;1842;2338
1;7;" Yellow "; 2595; 2679;2338;2945
1;7;" White  "; 3211; 3257;2945;4095
1;8;" NONE   ";    0;    2;   0; 158
1;8;" Black  ";  314;  673; 158;1140
1;8;" Red    "; 1608; 1698;1140;1967
1;8;" Blue   "; 2236; 2430;1967;2602
1;8;" Yellow "; 2774; 2809;2602;3066
1;8;" White  "; 3322; 3497;3066;4095
1;9;" NONE   ";    0;    0;   0; 112
1;9;" Black  ";  224;  250; 112; 788
1;9;" Red    "; 1325; 1495; 788;1655
1;9;" Blue   "; 1815; 1915;1655;2007
1;9;" Yellow "; 2099; 2203;2007;2468
1;9;" White  "; 2733; 2816;2468;4095
1;10;" NONE   ";    0;    6;   0;  96
1;10;" Black  ";  185;  244;  96; 798
1;10;" Red    "; 1353; 1446; 798;1677
1;10;" Blue   "; 1908; 2001;1677;2084
1;10;" Yellow "; 2166; 2202;2084;2456
1;10;" White  "; 2709; 2825;2456;4095
1;11;" NONE   ";    0;    0;   0; 124
1;11;" Black  ";  248;  319; 124; 918
1;11;" Red    "; 1517; 1554; 918;1738
1;11;" Blue   "; 1922; 2098;1738;2162
1;11;" Yellow "; 2227; 2351;2162;2559
1;11;" White  "; 2767; 2877;2559;4095
1;12;" NONE   ";    0;   59;   0; 160
1;12;" Black  ";  261;  334; 160; 924
1;12;" Red    "; 1515; 1587; 924;1817
1;12;" Blue   "; 2047; 2106;1817;2294
1;12;" Yellow "; 2482; 2519;2294;2798
1;12;" White  "; 3077; 3210;2798;4095
1;13;" NONE   ";    0;    4;   0; 117
1;13;" Black  ";  230;  299; 117; 932
1;13;" Red    "; 1564; 1625; 932;1829
1;13;" Blue   "; 2033; 2138;1829;2270
1;13;" Yellow "; 2402; 2587;2270;2809
1;13;" White  "; 3031; 3128;2809;4095
1;14;" NONE   ";    0;   13;   0; 126
1;14;" Black  ";  240;  300; 126; 894
1;14;" Red    "; 1489; 1653; 894;1794
1;14;" Blue   "; 1934; 2116;1794;2288
1;14;" Yellow "; 2460; 2633;2288;2906
1;14;" White  "; 3180; 3237;2906;4095
1;15;" NONE   ";    0;   19;   0; 150
1;15;" Black  ";  281;  342; 150;1080
1;15;" Red    "; 1817; 1855;1080;2120
1;15;" Blue   "; 2384; 2442;2120;2642
1;15;" Yellow "; 2842; 2952;2642;3248
1;15;" White  "; 3544; 3679;3248;4095
