test_num;board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold;;min_range;max_range;sensor_amplitude;monitored_mean;coeff_monitored_range;coeff_full_range;adjusting_factor;coeff_adjusted;Maxy ref alpha;maxy i ref;maxy cal alpha;adjusted_full_range
0;1;6; NONE   ;21;75;0;166;;257;2465;2208;48;-0.0946557971014493;0.01947261663286;1;48;2240;2465;2240;0.01947261663286
0;1;6; Black  ;257;317;166;922;;257;2465;2208;287;0.0135869565217391;0.116430020283976;1;287;2240;2465;2240;0.116430020283976
0;1;6; Red    ;1528;1597;922;1767;;257;2465;2208;1562.5;0.591259057971014;0.633874239350913;1;1562.5;2240;2465;2240;0.633874239350913
0;1;6; Blue   ;1937;2037;1767;2229;;257;2465;2208;1987;0.783514492753623;0.806085192697769;1;1987;2240;2465;2240;0.806085192697769
0;1;6; Yellow ;2421;2465;2229;2811;;257;2465;2208;2443;0.990036231884058;0.991075050709939;1;2443;2240;2465;2240;0.991075050709939
0;1;6; White  ;3157;3186;2811;4095;;257;2465;2208;3171.5;1.31997282608696;1.28661257606491;1;3171.5;2240;2465;2240;1.28661257606491
0;1;7; NONE   ;0;30;0;160;;289;2761;2472;15;-0.11084142394822;0.00543281419775444;1;15;2240;2761;2240;0.00543281419775444
0;1;7; Black  ;289;485;160;1070;;289;2761;2472;387;0.0396440129449838;0.140166606302064;1;387;2240;2761;2240;0.140166606302064
0;1;7; Red    ;1656;1736;1070;1940;;289;2761;2472;1696;0.569174757281553;0.614270191959435;1;1696;2240;2761;2240;0.614270191959435
0;1;7; Blue   ;2145;2245;1940;2482;;289;2761;2472;2195;0.771035598705502;0.795001810938066;1;2195;2240;2761;2240;0.795001810938066
0;1;7; Yellow ;2718;2761;2482;3058;;289;2761;2472;2739.5;0.991302588996764;0.992212966316552;1;2739.5;2240;2761;2240;0.992212966316552
0;1;7; White  ;3354;3447;3058;4095;;289;2761;2472;3400.5;1.25869741100324;1.23161897863093;1;3400.5;2240;2761;2240;1.23161897863093
0;1;8; NONE   ;44;83;0;206;;328;2951;2623;63.5;-0.100838734273732;0.0215181294476449;1;63.5;2240;2951;2240;0.0215181294476449
0;1;8; Black  ;328;388;206;1098;;328;2951;2623;358;0.0114372855508959;0.121314808539478;1;358;2240;2951;2240;0.121314808539478
0;1;8; Red    ;1809;1842;1098;2140;;328;2951;2623;1825.5;0.570911170415555;0.618603863097255;1;1825.5;2240;2951;2240;0.618603863097255
0;1;8; Blue   ;2439;2497;2140;2672;;328;2951;2623;2468;0.815859702630576;0.836326668925788;1;2468;2240;2951;2240;0.836326668925788
0;1;8; Yellow ;2847;2951;2672;3265;;328;2951;2623;2899;0.98017537171178;0.982378854625551;1;2899;2240;2951;2240;0.982378854625551
0;1;8; White  ;3579;3612;3265;4095;;328;2951;2623;3595.5;1.24571101791841;1.21840054218909;1;3595.5;2240;2951;2240;1.21840054218909
0;1;9; NONE   ;16;82;0;144;;206;2346;2140;49;-0.0733644859813084;0.0208866155157715;1;49;2240;2346;2240;0.0208866155157715
0;1;9; Black  ;206;249;144;854;;206;2346;2140;227.5;0.0100467289719626;0.0969735720375107;1;227.5;2240;2346;2240;0.0969735720375107
0;1;9; Red    ;1460;1586;854;1802;;206;2346;2140;1523;0.615420560747664;0.649190110826939;1;1523;2240;2346;2240;0.649190110826939
0;1;9; Blue   ;2017;2078;1802;2202;;206;2346;2140;2047.5;0.860514018691589;0.872762148337596;1;2047.5;2240;2346;2240;0.872762148337596
0;1;9; Yellow ;2325;2346;2202;2610;;206;2346;2140;2335.5;0.995093457943925;0.995524296675192;1;2335.5;2240;2346;2240;0.995524296675192
0;1;9; White  ;2873;3016;2610;4095;;206;2346;2140;2944.5;1.27967289719626;1.25511508951407;1;2944.5;2240;2346;2240;1.25511508951407
0;1;10; NONE   ;24;70;0;129;;188;2358;2170;47;-0.0649769585253456;0.0199321458863444;1;47;2240;2358;2240;0.0199321458863444
0;1;10; Black  ;188;276;129;866;;188;2358;2170;232;0.0202764976958525;0.0983884648006785;1;232;2240;2358;2240;0.0983884648006785
0;1;10; Red    ;1456;1533;866;1726;;188;2358;2170;1494.5;0.602073732718894;0.633799830364716;1;1494.5;2240;2358;2240;0.633799830364716
0;1;10; Blue   ;1919;2086;1726;2182;;188;2358;2170;2002.5;0.836175115207373;0.849236641221374;1;2002.5;2240;2358;2240;0.849236641221374
0;1;10; Yellow ;2277;2358;2182;2594;;188;2358;2170;2317.5;0.981336405529954;0.982824427480916;1;2317.5;2240;2358;2240;0.982824427480916
0;1;10; White  ;2831;2855;2594;4095;;188;2358;2170;2843;1.22350230414747;1.20568278201866;1;2843;2240;2358;2240;1.20568278201866
0;1;11; NONE   ;41;87;0;160;;232;2440;2208;64;-0.0760869565217391;0.0262295081967213;1;64;2240;2440;2240;0.0262295081967213
0;1;11; Black  ;232;278;160;932;;232;2440;2208;255;0.0104166666666667;0.104508196721311;1;255;2240;2440;2240;0.104508196721311
0;1;11; Red    ;1587;1649;932;1866;;232;2440;2208;1618;0.627717391304348;0.663114754098361;1;1618;2240;2440;2240;0.663114754098361
0;1;11; Blue   ;2082;2134;1866;2233;;232;2440;2208;2108;0.84963768115942;0.863934426229508;1;2108;2240;2440;2240;0.863934426229508
0;1;11; Yellow ;2332;2440;2233;2696;;232;2440;2208;2386;0.97554347826087;0.977868852459016;1;2386;2240;2440;2240;0.977868852459016
0;1;11; White  ;2952;3090;2696;4095;;232;2440;2208;3021;1.26313405797101;1.23811475409836;1;3021;2240;2440;2240;1.23811475409836
0;1;12; NONE   ;0;46;0;155;;264;2632;2368;23;-0.101773648648649;0.00873860182370821;1;23;2240;2632;2240;0.00873860182370821
0;1;12; Black  ;264;312;155;955;;264;2632;2368;288;0.0101351351351351;0.109422492401216;1;288;2240;2632;2240;0.109422492401216
0;1;12; Red    ;1598;1661;955;1886;;264;2632;2368;1629.5;0.576646959459459;0.61911094224924;1;1629.5;2240;2632;2240;0.61911094224924
0;1;12; Blue   ;2111;2215;1886;2404;;264;2632;2368;2163;0.801942567567568;0.821808510638298;1;2163;2240;2632;2240;0.821808510638298
0;1;12; Yellow ;2593;2632;2404;2866;;264;2632;2368;2612.5;0.991765202702703;0.992591185410334;1;2612.5;2240;2632;2240;0.992591185410334
0;1;12; White  ;3100;3133;2866;4095;;264;2632;2368;3116.5;1.20460304054054;1.18408054711246;1;3116.5;2240;2632;2240;1.18408054711246
0;1;13; NONE   ;0;62;0;172;;283;2669;2386;31;-0.105616093880972;0.0116148370176096;1;31;2240;2669;2240;0.0116148370176096
