board;sensor;marble_color;min_value;max_value;mean;low_threshold;high_threshold
1;14;" Orange ";798;962;871;414;1202
1;14;" Green  ";1442;1576;1517;1202;2459
1;14;" White  ";3343;3559;3456;2459;4095
1;15;" NONE   ";0;69;8;0;488
1;15;" Orange ";908;1099;1007;488;1399
1;15;" Green  ";1700;1834;1759;1399;2753
1;15;" White  ";3672;3742;3720;2753;4095
2;0;" NONE   ";0;53;5;0;556
2;0;" Orange ";1060;1292;1148;556;1621
2;0;" Green  ";1951;2084;2045;1621;2938
2;0;" White  ";3793;3826;3812;2938;4095
2;1;" NONE   ";0;31;1;0;530
2;1;" Orange ";1030;1141;1084;530;1512
2;1;" Green  ";1883;2054;1972;1512;2920
2;1;" White  ";3786;3817;3808;2920;4095
2;2;" NONE   ";0;17;0;0;450
2;2;" Orange ";884;1039;959;450;1308
2;2;" Green  ";1577;1783;1688;1308;2645
2;2;" White  ";3507;3767;3717;2645;4095
2;3;" NONE   ";0;20;0;0;512
2;3;" Orange ";1004;1217;1112;512;1518
2;3;" Green  ";1819;2080;1950;1518;2919
2;3;" White  ";3759;3810;3796;2919;4095
2;4;" NONE   ";0;553;93;0;897
2;4;" Orange ";1242;1418;1339;897;2090
2;4;" Green  ";2762;2853;2804;2090;2549
2;4;" White  ";2244;2358;2290;2549;4095
2;5;" NONE   ";0;2361;456;0;1387
2;5;" Orange ";413;550;471;1387;906
2;5;" Green  ";1262;1434;1345;906;2107
2;5;" White  ";2780;2860;2820;2107;4095
2;6;" NONE   ";0;32;3;0;408
2;6;" Orange ";784;918;851;408;1181
2;6;" Green  ";1445;1612;1525;1181;2329
2;6;" White  ";3047;3423;3337;2329;4095
2;7;" NONE   ";0;88;12;0;472
2;7;" Orange ";856;1013;912;472;1311
2;7;" Green  ";1609;1745;1662;1311;2716
2;7;" White  ";3688;3730;3713;2716;4095
2;8;" NONE   ";0;30;0;0;407
2;8;" Orange ";784;936;858;407;1174
2;8;" Green  ";1412;1608;1531;1174;2532
2;8;" White  ";3457;3615;3538;2532;4095
2;9;" NONE   ";0;24;0;0;356
2;9;" Orange ";688;832;762;356;1122
2;9;" Green  ";1413;1506;1455;1122;2207
2;9;" White  ";2908;3365;3260;2207;4095
2;10;" NONE   ";0;19;0;0;401
2;10;" Orange ";783;927;856;401;1201
2;10;" Green  ";1475;1617;1538;1201;2566
2;10;" White  ";3515;3660;3589;2566;4095
2;11;" NONE   ";0;1;0;0;429
2;11;" Orange ";857;1054;957;429;1349
2;11;" Green  ";1645;1753;1705;1349;2703
2;11;" White  ";3653;3773;3746;2703;4095
2;12;" NONE   ";0;10;0;0;447
2;12;" Orange ";885;1122;1004;447;1412
2;12;" Green  ";1703;1898;1799;1412;2812
2;12;" White  ";3726;3793;3776;2812;4095
2;13;" NONE   ";0;12;0;0;422
2;13;" Orange ";833;1081;958;422;1337
2;13;" Green  ";1593;1785;1677;1337;2746
2;13;" White  ";3708;3749;3724;2746;4095
2;14;" NONE   ";0;9;0;0;497
2;14;" Orange ";986;1264;1103;497;1582
2;14;" Green  ";1901;2118;2002;1582;2951
2;14;" White  ";3785;3813;3801;2951;4095
2;15;" NONE   ";0;57;5;0;451
2;15;" Orange ";846;1000;918;451;1275
2;15;" Green  ";1551;1660;1614;1275;2559
2;15;" White  ";3458;3726;3639;2559;4095
3;0;" NONE   ";89;253;188;0;648
3;0;" Orange ";1044;1260;1144;648;1541
3;0;" Green  ";1823;2026;1943;1541;2879
3;0;" White  ";3733;3802;3781;2879;4095
3;1;" NONE   ";0;33;0;0;569
3;1;" Orange ";1105;1380;1231;569;1759
3;1;" Green  ";2139;2370;2229;1759;3086
3;1;" White  ";3802;3838;3825;3086;4095
3;2;" NONE   ";0;21;0;0;552
3;2;" Orange ";1083;1271;1196;552;1637
3;2;" Green  ";2004;2248;2110;1637;3020
3;2;" White  ";3793;3827;3814;3020;4095
3;3;" NONE   ";0;13;0;0;580
3;3;" Orange ";1147;1370;1256;580;1729
3;3;" Green  ";2089;2286;2187;1729;3042
3;3;" White  ";3798;3839;3819;3042;4095
3;4;" NONE   ";0;7;0;0;498
3;4;" Orange ";990;1205;1120;498;1517
3;4;" Green  ";1830;2041;1966;1517;2912
3;4;" White  ";3783;3817;3801;2912;4095
3;5;" NONE   ";0;16;0;0;381
3;5;" Orange ";746;938;829;381;1162
3;5;" Green  ";1387;1611;1499;1162;2552
3;5;" White  ";3493;3650;3563;2552;4095
3;6;" NONE   ";0;11;0;0;414
